"Category database id","Category key","Name","Parent key","Is visible","Priority","Custom URL","Meta title","Meta Description","Category header","Description","Bottom description","Exactor EUC code","Avalara tax code"
"444","02FF","Whitman Coin Folders","Folders","Yes","1","","","","","Whitman folders open flat for all-at-once viewing and includes data pertaining to the coins it holds.","","",""
"445","03A","Harris Coin Folders","Folders","Yes","5","","","","","H. E. Harris coin folders are great for organizing coin collections. Harris folders are&nbsp;economical and easy to use and available for most modern US coins.","","",""
"446","03:03B","H Nickel Folders","03A","Yes","2","","","","","","","",""
"447","03:03C","H Dime Folders","03A","Yes","3","","","","","","","",""
"448","03:03D","H Quarter Folders","03A","Yes","4","","","","","","","",""
"449","03:03DA","H Statehood Quarter Folders","03:03D","Yes","5","","","","","","","",""
"450","03:03F","H Dollar Folders","03A","Yes","6","","","","","","","",""
"451","03M","Statehood Quarter Maps","03:03D","Yes","5","","","","","","","",""
"452","03:03E","H Half Dollar Folders","03A","Yes","5","","","","","","","",""
"453","03:03DB","H National Parks Folders","03:03D","Yes","5","","","","","","","",""
"454","04P","Dansco Replacement Pages","04A","Yes","2","","","","","These replacement pages are made by Dansco and will fit any Dansco coin album. With the exception of the vinyl pages, these pages are rigid and feature clear acetate sheets on the front and back that sandwich coins in place. All of the pages are archival safe and will keep your coins safe for years.","","",""
"673","04P:DDWC","World Coin Pages","04P","Yes","9","","","","","","","",""
"456","04SC","Slip Cases","04A","Yes","5","","","","","<p><span style=""font-family: Arial, Helvetica, sans-serif; font-size: medium;"" size=""3"" face=""Arial, Helvetica, sans-serif"">The Dansco Archival Quality Slipcase has been produced with Silver-Guard Corrosion-Inhibiting protection. No other product on the </span><span style=""font-family: Arial, Helvetica, sans-serif; font-size: medium;"" size=""3"" face=""Arial, Helvetica, sans-serif"">Market matches Silver-Guard Corrosion-Inhibiting protection against corrosion. This Military Specification material permanently neutralizes corrosive gases in the air that can cause toning and discoloring. This works with silver, gold, copper and nickel coins and medals, medallions, bars and ferrous metals.</span></p>  <p><span style=""font-family: Arial, Helvetica, sans-serif; font-size: medium;"" size=""3"" face=""Arial, Helvetica, sans-serif""> Dansco Coin Albums have always been made with the best archival materials and now with the addition of this finely crafted slipcase, the protection is invaluable. The slipcase will not remove existing toning. Always handle your coins properly. It is best to store your coins in a cool, dry place and away from extreme temperature or humidity changes.</span></p>","","",""
"636","02X:AASE","Silver Eagle Album","02X:AS","Yes","20","","","","","","","",""
"635","02X:A50","Half Dollar Album","02X","Yes","5","","","","","","","",""
"634","02X:A5","Nickel Album","02X","Yes","2","","","","","","","",""
"633","02X:A25","Quarter Album","02X","Yes","4","","","","","","","",""
"632","02X:A100","Dollar Album","02X","Yes","6","","","","","","","",""
"631","02X:A10","Dime Album","02X","Yes","3","","","","","","","",""
"630","02X:A1","Cent Album","02X","Yes","1","","","","","","","",""
"594","Holders","Holders","Holders&Displays","Yes","5","","","","","","","",""
"609","04B","Album Binders","04A","Yes","5","","","","","Dansco Coin Binders are sold without any pages or slides. You are able to make a custom album starting&nbsp;with the binders.<br /><br />","","",""
"620","04A:A50","Half Dollar Albums","04DA","Yes","5","","","","","","","",""
"619","04A:A5","Nickel Albums","04DA","Yes","2","","","","","","","",""
"623","04A:AWC","World Coin Albums","04DA","Yes","11","","","","","","","",""
"597","03:03A","H Cent Folders","03A","Yes","1","","","","","","","",""
"605","08H","Harris Round Tubes","08RT","Yes","5","","","","","","","",""
"596","02:02A","W Cent Folders","02FF","Yes","1","","","","","","","",""
"606","09F","Coin Flips","Storage","Yes","5","","","","","","","",""
"598","03:03FA","H Small Dollar Folders","03A","Yes","5","","","","","","","",""
"603","04P:DD10","Dime Pages","04P","Yes","3","","","","","","","",""
"604","04P:DD100","Dollar Pages","04P","Yes","6","","","","","","","",""
"601","04M","Millimeter Pages","04A","Yes","5","","","","","We offer&nbsp;a variety of&nbsp;MM sized Dansco Album pages from 16mm through 70mm. These pages fit into Dansco Albums.","","",""
"607","18CM","Coin Bezels","18JS","Yes","5","","","","","","","",""
"602","04P:DD1","Cent Pages","04P","Yes","1","","","","","","","",""
"548","07CS","Store Supplies","MoreSupplies","Yes","7","","","","","","","",""
"549","S","Stamp Supplies","MoreSupplies","Yes","7","","","","","","","",""
"550","07CU","Currency Holders","Holders&Displays","Yes","5","","","","","","","",""
"551","RCGS","Robert C Gray Supplies","MoreSupplies","No","5","","","","","","","",""
"552","BS","Book Store","","Yes","9","","","","","","","",""
"553","VSG","Showgard Stamp Mounts","V","Yes","5","","","","","","","",""
"555","08GR","Robert C. Gray Round Tubes","08RT","Yes","5","","","","","","","",""
"556","12Q","Quarter Snaplocks","12SL","Yes","4","","","","","","","",""
"557","12N","Nickel Snaplocks","12SL","Yes","2","","","","","","","",""
"558","12H","Half Dollar Snaplocks","12SL","Yes","5","","","","","","","",""
"559","12C","Cent Snaplocks","12SL","Yes","1","","","","","","","",""
"560","12SO","Special Occasion Snaplocks","12SL","Yes","10","","","","","","","",""
"561","12D","Dollar Snaplocks","12SL","Yes","6","","","","","","","",""
"563","12SD","Small Dollar Snaplocks","12SL","Yes","7","","","","","","","",""
"564","10A","Frosted 2X2 SnapTites","10ST","Yes","5","","","","","","","",""
"653","AT:DF","Direct Fit","AT","Yes","5","","","","","","","",""
"658","18CM:S","Sterling","18CM","Yes","5","","","","","","","",""
"546","17BB","Belt Buckles","18JS","Yes","5","","","","","","","",""
"590","Tubes","Tubes","Storage","Yes","5","","","","","Coin tubes provide a great way to organize and store your collection while keeping it safe from contamination unprotected coins can encounter. A long time staple of numismatics, coin collecting tubes are widely used because they are a safe and convenient way to store coins. We offer both the round and square types of coin tubes.","","",""
"588","Folders","Folders","","Yes","2","","","","","<strong>Coin Folders</strong>&nbsp;are the most economical way to organize a coin collection. &nbsp;These are&nbsp;perfect for both starting coin collectors and experienced collectors.","","",""
"622","04A:AASE","Silver Eagle Albums","04A:AS","Yes","20","","","","","","","",""
"613","04DA","Dansco Albums","04A","Yes","1","","","","","","","",""
"666","07CA","Currency Albums","07CU","Yes","5","","","","","","","",""
