Product ID,Name,Price,Available,Product type,Categories,Manufacturer name,Manufacturer code,Is taxable,Tax class name,Tax class ID,Location name,Location code,Free shipping,Weight,Same day delivery,Min order,Max order,Sale price,Price level 1,Price level 2,Price level 3,Call for price,Priority,Reviews Count,Rating,URL default,URL custom,Meta title,Meta description,Track inventory,Stock,Stock warning,Inventory rule,Digital product file,Description,Search Keywords,Image URL,Image location,Image alt text,On home page,Is hotdeal,Doba product,SKU,Barcode,MPN,Google Base item condition,Google Base product category,Google Base availability,Google Base online only,Google Base gender,Google Base age group,Google Base color,Google Base size,Google Base material,Google Base pattern,Amazon item id,Amazon item id type,Amazon item condition,Ebay category,Yahoo path,PriceGrabber category,PriceGrabber part number,PriceGrabber item condition,Nextag category,Nextag part number,Nextag item condition,Recurring enabled,Recurring billing custom,Recurring billing amount,Recurring billing period unit,Recurring billing period frequency,Recurring billing period cycles,Recurring trial enabled,Recurring trial custom,Recurring trial amount,Recurring trial period unit,Recurring trial period frequency,Recurring trial period cycles,Recurring start date delay,Recurring schedule description,Recurring max payment failures,Recurring auto complete initial order,Recurring auto complete recurring orders,Recurring customer can suspend,Recurring customer can cancel,Recurring admin can adjust billing,Recurring admin can adjust trial,Recurring customer notifications,Recurring admin notifications,Sub ID,Sub SKU,Stock on attribute level,Sub product attributes
01:001,Cent U-Do-It 2x2 per 100,4.49,Yes,Tangible,RCGS,WHITMAN PUBLISHING,WHITMAN PUBLISHING,Yes,General,general,,,No,0,No,1,0,,2.47,2.47,2.47,No,0,0,0,robert-c-gray-supplies/cent-u-do-it-2x2-per-100/,,,,Yes,382,0,Hide,,07948-25001 Mylar CENT # 1 per 100,,,Local,,No,No,Doba product,01:001,,,,,,,,,,,,,Amazon item condition,,0,0,0,,,,New,,,,0,0,,,,,0,0,,,,,0,,0,0,0,0,0,0,0,0,0,,,
01:002,Quarter U-Do-It 2x2 Cardboard,4.49,Yes,Tangible,RCGS,WHITMAN PUBLISHING,WHITMAN PUBLISHING,Yes,General,general,,,No,0,No,1,0,,2.47,2.47,2.47,No,0,0,0,robert-c-gray-supplies/quarter-u-do-it-2x2-cardboard/,,,,Yes,276,0,Hide,,07948-25036 Mylar QUARTER # 2,,,Local,,No,No,Doba product,01:002,,,,,,,,,,,,,Amazon item condition,,0,0,0,,,,New,,,,0,0,,,,,0,0,,,,,0,,0,0,0,0,0,0,0,0,0,,,
01:003,Half Dollar U-Do-It 2x2 Cardboard,4.49,Yes,Tangible,RCGS,WHITMAN PUBLISHING,WHITMAN PUBLISHING,Yes,General,general,,,No,0,No,1,0,,2.47,2.47,2.47,No,0,0,0,robert-c-gray-supplies/half-dollar-u-do-it-2x2-cardboard/,,,,Yes,273,0,Hide,,07948-25044 Mylar HALF DOLLAR # 3,,,Local,,No,No,Doba product,01:003,,,,,,,,,,,,,Amazon item condition,,0,0,0,,,,New,,,,0,0,,,,,0,0,,,,,0,,0,0,0,0,0,0,0,0,0,,,
01:004,Dollar U-Do-It 2x2 Cardboard,4.49,Yes,Tangible,RCGS,WHITMAN PUBLISHING,WHITMAN PUBLISHING,Yes,General,general,,,No,0,No,1,0,,2.47,2.47,2.47,No,0,0,0,robert-c-gray-supplies/dollar-u-do-it-2x2-cardboard/,,,,Yes,351,0,Hide,,07948-25052 Mylar DOLLAR # 4,,,Local,,No,No,Doba product,01:004,,,,,,,,,,,,,Amazon item condition,,0,0,0,,,,New,,,,0,0,,,,,0,0,,,,,0,,0,0,0,0,0,0,0,0,0,,,
01:005,Nickel U-Do-It 2x2 Cardboard,4.49,Yes,Tangible,RCGS,WHITMAN PUBLISHING,WHITMAN PUBLISHING,Yes,General,general,,,No,0,No,1,0,,2.47,2.47,2.47,No,0,0,0,robert-c-gray-supplies/nickel-u-do-it-2x2-cardboard/,,,,Yes,348,0,Hide,,07948-2501X Mylar NICKEL # 5,,,Local,,No,No,Doba product,01:005,,,,,,,,,,,,,Amazon item condition,,0,0,0,,,,New,,,,0,0,,,,,0,0,,,,,0,,0,0,0,0,0,0,0,0,0,,,
01:006,Dime U-Do-It 2x2 Cardboard,4.49,Yes,Tangible,RCGS,WHITMAN PUBLISHING,WHITMAN PUBLISHING,Yes,General,general,,,No,0,No,1,0,,2.47,2.47,2.47,No,0,0,0,robert-c-gray-supplies/dime-u-do-it-2x2-cardboard/,,,,Yes,334,0,Hide,,07948-25028 Mylar DIME #6,,,Local,,No,No,Doba product,01:006,,,,,,,,,,,,,Amazon item condition,,0,0,0,,,,New,,,,0,0,,,,,0,0,,,,,0,,0,0,0,0,0,0,0,0,0,,,
01:009,Small Dollar U-Do-It 2x2 Cardboard,4.49,Yes,Tangible,RCGS,WHITMAN PUBLISHING,WHITMAN PUBLISHING,Yes,General,general,,,No,0,No,1,0,,2.47,2.47,2.47,No,0,0,0,robert-c-gray-supplies/small-dollar-u-do-it-2x2-cardboard/,,,,Yes,364,0,Hide,,07948-25060 Mylar SBA/SACAGAWEA # 7,,,Local,,No,No,Doba product,01:009,,,,,,,,,,,,,Amazon item condition,,0,0,0,,,,New,,,,0,0,,,,,0,0,,,,,0,,0,0,0,0,0,0,0,0,0,,,
01:010,Red Box 2'x 2'x 9' Single Row,2.25,Yes,Tangible,RCGS,TRANSLINE,TRANSLINE,Yes,General,general,,,No,0,No,1,0,,1.58,1.58,1.58,No,0,0,0,robert-c-gray-supplies/red-box-2x-2x-9-single-row/,,,,Yes,90,0,Hide,,"<span style=""text-align: left;"" dir=""ltr"" class=""irc_su"">Keep your collection uniformed with this red, single row, certified coin storage box.</span>",,,Local,,No,No,Doba product,01:010,,,,,,,,,,,,,Amazon item condition,,0,0,0,,,,New,,,,0,0,,,,,0,0,,,,,0,,0,0,0,0,0,0,0,0,0,,,
01:011,Economy Box 2'x 2'x 9',1.4,Yes,Tangible,RCGS,FINN INDUSTRIES,FINN INDUSTRIES,Yes,General,general,,,No,0,No,1,0,,0.85,0.85,0.85,No,0,0,0,robert-c-gray-supplies/economy-box-2x-2x-9/,,,,Yes,7286,0,Hide,,ECONO BOX 2'x 2'x 9',,,Local,,No,No,Doba product,01:011,,,,,,,,,,,,,Amazon item condition,,0,0,0,,,,New,,,,0,0,,,,,0,0,,,,,0,,0,0,0,0,0,0,0,0,0,,,
01:012,Bag 9 x 12 Poly for Flips,0.15,Yes,Tangible,RCGS,ASSOCIATED BAG CO.,ASSOCIATED BAG CO.,Yes,General,general,,,No,0,No,1,0,,0.1,0.1,0.1,No,0,0,0,robert-c-gray-supplies/bag-9-x-12-poly-for-flips/,,,,Yes,788,0,Hide,,G-30F-0912 9 x 12 x 3mil POLY BAG..28-5-526 (1000 count cs),,,Local,,No,No,Doba product,01:012,,,,,,,,,,,,,Amazon item condition,,0,0,0,,,,New,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
01:014,Box of Snap Locks Special Printing,0,Yes,Tangible,RCGS,CALVEY,CALVEY,Yes,General,general,,,No,0,No,1,0,,0,0,0,No,0,0,0,robert-c-gray-supplies/box-of-snap-locks-special-printing/,,,,Yes,451,0,Hide,,BOX / SNAP LOCKS SPECIAL PRINTING,,,Local,,No,No,Doba product,01:014,,,,,,,,,,,,,Amazon item condition,,0,0,0,,,,New,,,,0,0,,,,,0,0,,,,,0,,0,0,0,0,0,0,0,0,0,,,
01:015,Flip Box,2.25,Yes,Tangible,RCGS,CALVEY,CALVEY,Yes,General,general,,,No,0,No,1,0,,1.5,1.5,1.5,No,0,0,0,robert-c-gray-supplies/flip-box/,,,,Yes,454,0,Hide,,TH-M494 ECONO MAILER,,,Local,,No,No,Doba product,01:015,,,,,,,,,,,,,Amazon item condition,,0,0,0,,,,New,,,,0,0,,,,,0,0,,,,,0,,0,0,0,0,0,0,0,0,0,,,
01:016,RCG Single Pocket Flips (soft),0.097,Yes,Tangible,RCGS,DOMINO PLASTICS,DOMINO PLASTICS,Yes,General,general,,,No,0,No,1,0,,0.0647,0.0647,0.0647,No,0,0,0,robert-c-gray-supplies/rcg-single-pocket-flips-soft/,,,,Yes,27000,0,Hide,,2x2 RCG SINGLE POCKET Flips SOFT VINYL 300 Sheets per box 10cnt per sheet,,,Local,,No,No,Doba product,01:016,,,,,,,,,,,,,Amazon item condition,,0,0,0,,,,New,,,,0,0,,,,,0,0,,,,,0,,0,0,0,0,0,0,0,0,0,,,
01:018,RCG Safety Double Pocket Flips,0.6,Yes,Tangible,RCGS,DOMINO PLASTICS,DOMINO PLASTICS,Yes,General,general,,,No,0,No,1,0,,0.4,0.4,0.4,No,0,0,0,robert-c-gray-supplies/rcg-safety-double-pocket-flips/,,,,Yes,12640,0,Hide,,2x2 RCG DOUBLE POCKET Flips RIDGID VINYL 300 Sheets per box 10 cnt per sheet,,,Local,,No,No,Doba product,01:018,,,,,,,,,,,,,Amazon item condition,,0,0,0,,,,New,,,,0,0,,,,,0,0,,,,,0,,0,0,0,0,0,0,0,0,0,,,
01:019,Labels for 2x2 boxes,0.3,Yes,Tangible,RCGS,SMITH PRINTING,SMITH PRINTING,Yes,General,general,,,No,0,No,1,0,,0.2,0.2,0.2,No,0,0,0,robert-c-gray-supplies/labels-for-2x2-boxes/,,,,Yes,11099,0,Hide,,LABELS for 2x2 boxes,,,Local,,No,No,Doba product,01:019,,,,,,,,,,,,,Amazon item condition,,0,0,0,,,,New,,,,0,0,,,,,0,0,,,,,0,,0,0,0,0,0,0,0,0,0,,,
01:020,RCG  Double Pocket Flip (soft),0.435,Yes,Tangible,RCGS,DOMINO PLASTICS,DOMINO PLASTICS,Yes,General,general,,,No,0,No,1,0,,0.029,0.029,0.029,No,0,0,0,robert-c-gray-supplies/rcg-double-pocket-flip-soft/,,,,Yes,21000,0,Hide,,2x2 RCG DOUBLE POCKET Flips SOFT VINYL 300 Sheets per box 10 cnt per sheet,,,Local,,No,No,Doba product,01:020,,,,,,,,,,,,,Amazon item condition,,0,0,0,,,,New,,,,0,0,,,,,0,0,,,,,0,,0,0,0,0,0,0,0,0,0,,,
01:021,"Inserts, perforated",0.255,Yes,Tangible,RCGS,SMITH PRINTING,SMITH PRINTING,Yes,General,general,,,No,0,No,1,0,,0.17,0.17,0.17,No,0,0,0,robert-c-gray-supplies/inserts-perforated/,,,,Yes,410,0,Hide,,Sheets MICROPERF 2 DIRECTIONS #67 VELLUM BRISTOL CREAM,,,Local,,No,No,Doba product,01:021,,,,,,,,,,,,,Amazon item condition,,0,0,0,,,,New,,,,0,0,,,,,0,0,,,,,0,,0,0,0,0,0,0,0,0,0,,,
01:024,2X3 Snap Lock Case,0.375,Yes,Tangible,RCGS,B. J. PLASTIC MOULDING CO.,B. J. PLASTIC MOULDING CO.,Yes,General,general,,,No,0,No,1,0,,0.25,0.25,0.25,No,0,0,0,robert-c-gray-supplies/2x3-snap-lock-case/,,,,Yes,144,0,Hide,,Snap lock cases have been a favorite for years in protecting and displaying coins.,,,Local,,No,No,Doba product,01:024,,,,,,,,,,,,,Amazon item condition,,0,0,0,,,,New,,,,0,0,,,,,0,0,,,,,0,,0,0,0,0,0,0,0,0,0,,,
01:025,7X3X2  White Corrugated Mailer 1327 Box,1.5,Yes,Tangible,RCGS,ASSOCIATED BAG CO.,ASSOCIATED BAG CO.,Yes,General,general,,,No,0,No,1,0,,1,1,1,No,0,0,0,robert-c-gray-supplies/7x3x2-white-corrugated-mailer-1327-box/,,,,Yes,186,0,Hide,,7 X 3 X 2 WHITE CORRUGATED MAILER #148-121W,,,Local,,No,No,Doba product,01:025,,,,,,,,,,,,,Amazon item condition,,0,0,0,,,,New,,,,0,0,,,,,0,0,,,,,0,,0,0,0,0,0,0,0,0,0,,,
01:026,8X4X2  White Corrugated Mailer 1329 Box,1.5,Yes,Tangible,RCGS,ASSOCIATED BAG CO.,ASSOCIATED BAG CO.,Yes,General,general,,,No,0,No,1,0,,1,1,1,No,0,0,0,robert-c-gray-supplies/8x4x2-white-corrugated-mailer-1329-box/,,,,Yes,87,0,Hide,,8 X 4 X 2 WHITE CORRUGATED MAILER #148-149W,,,Local,,No,No,Doba product,01:026,,,,,,,,,,,,,Amazon item condition,,0,0,0,,,,New,,,,0,0,,,,,0,0,,,,,0,,0,0,0,0,0,0,0,0,0,,,
01:027,Standard/Medium Currency Sleeve,0.255,Yes,Tangible,RCGS,INTERNATIONAL PLASTICS,INTERNATIONAL PLASTICS,Yes,General,general,,,No,0,No,1,0,,0.17,0.17,0.17,No,0,0,0,robert-c-gray-supplies/standard/medium-currency-sleeve/,,,,Yes,4300,0,Hide,,S-1295 Standard CURRENCY Sleeve 6.8 MIL 3 x 6-5/8,,,Local,,No,No,Doba product,01:027,,,,,,,,,,,,,Amazon item condition,,0,0,0,,,,New,,,,0,0,,,,,0,0,,,,,0,,0,0,0,0,0,0,0,0,0,,,
